""
"1","astar"
"1","Base","C0","C1","C2","C3","C4","C5","GDC","Ideal"
"porcentajeAciertosPorPrebusqueda","0","99.988","99.9858","99.9874","99.9856","99.9865","99.9894","99.9935","99.9868"
"porcentajePrebusquedasUtiles","NaN","98.0621","97.9779","96.9387","98.6101","98.0569","94.1557","91.4414","96.5115"
"1",""
"1","h264ref"
"1","Base","C0","C1","C2","C3","C4","C5","GDC","Ideal"
"numAccesosExaminados","322393","322393","322393","322393","322393","322393","322393","322393","322393"
"porcentajeReconocido.0","92.1965","91.9722","91.9722","96.3749","91.9856","91.9722","98.7689","0","92.1965"
"numEntradasTotales","322379","329987","333021","332862","328787","329988","342009","344388","333920"
"numEntradasActuales","259114","259754","259917","259720","259607","259754","260012","260375","259701"
"numReemplazos","63265","70233","73104","73142","69180","70234","81997","84013","74219"
"porcentajePrebuscado","0","66.1802","67.7606","80.868","40.0274","66.1806","93.1692","98.1872","68.5748"
"porcentajeDesperdicio","0","2.3055","3.1956","3.1494","1.949","2.3058","5.7396","6.3908","3.4562"
"porcentajeExito","0.0043","65.3836","66.6978","80.2468","38.838","65.3839","92.7536","98.0635","67.4512"
"porcentajeAciertosPorPrebusqueda","0","99.9934","99.9953","99.9946","99.9888","99.9934","99.9953","99.9965","99.9936"
"porcentajePrebusquedasUtiles","NaN","96.5163","95.284","96.1056","95.1309","96.5158","93.8396","93.4913","94.9599"
"1",""
"1","hmmer"
"1","Base","C0","C1","C2","C3","C4","C5","GDC","Ideal"
"numAccesosExaminados","472321","472321","472321","472321","472321","472321","472321","472321","472321"
"porcentajeReconocido.0","98.9272","98.789","98.789","99.158","98.8269","98.789","99.5514","0","98.9272"
"numEntradasTotales","472299","473104","473453","474740","472337","473108","479070","568751","472755"
"numEntradasActuales","262144","262144","262144","262144","262144","262144","262144","262144","262144"
"numReemplazos","210155","210960","211309","212596","210193","210964","216926","306607","210611"
"porcentajePrebuscado","0","97.4932","97.6065","98.278","96.4987","97.493","99.1467","99.2897","97.7718"
"porcentajeDesperdicio","0","0.1702","0.2437","0.5142","0.008","0.171","1.4134","16.9586","0.0965"
"porcentajeExito","0.0047","97.489","97.6008","98.2692","96.4986","97.4888","99.1345","99.1446","97.7697"
"porcentajeAciertosPorPrebusqueda","0","99.9952","99.9952","99.9953","99.9952","99.9952","99.9962","99.9957","99.9955"
"porcentajePrebusquedasUtiles","NaN","99.8255","99.7503","99.4768","99.9917","99.8246","98.5745","82.9201","99.9013"
"1",""
"1","lbm"
"1","Base","C0","C1","C2","C3","C4","C5","GDC","Ideal"
"numAccesosExaminados","5e+06","5e+06","5e+06","5e+06","5e+06","5e+06","5e+06","5e+06","5e+06"
"porcentajeReconocido.0","99.9639","99.9631","99.9631","99.9683","99.9631","99.9631","99.9788","0","99.9639"
"numEntradasTotales","4999991","5000738","5000955","5001443","5000272","5000738","5003854","5003524","5000584"
"numEntradasActuales","262144","262144","262144","262144","262144","262144","262144","262144","262144"
"numReemplazos","4737847","4738594","4738811","4739299","4738128","4738594","4741710","4741380","4738440"
"porcentajePrebuscado","0","99.9484","99.9508","99.9601","99.9334","99.9484","99.9706","99.9687","99.9511"
"porcentajeDesperdicio","0","0.0149","0.0193","0.029","0.0056","0.0149","0.0772","0.0706","0.0119"
"porcentajeExito","2e-04","99.9484","99.9508","99.9601","99.9334","99.9484","99.9706","99.9687","99.9511"
"porcentajeAciertosPorPrebusqueda","0","99.9998","99.9998","99.9998","99.9998","99.9998","99.9998","99.9998","99.9998"
"porcentajePrebusquedasUtiles","NaN","99.9851","99.9807","99.971","99.9944","99.9851","99.9228","99.9294","99.9881"
"1",""
"1","libquantum"
"1","Base","C0","C1","C2","C3","C4","C5","GDC","Ideal"
"numAccesosExaminados","4e+06","4e+06","4e+06","4e+06","4e+06","4e+06","4e+06","4e+06","4e+06"
"porcentajeReconocido.0","0","85.7135","85.7135","85.9101","85.7531","85.7135","86.4386","0","95.8338"
"numEntradasTotales","3767554","4023866","4024103","4033516","4006636","4023023","4035775","5765686","9134809"
"numEntradasActuales","262144","262144","262144","262144","262144","262144","262144","262144","262144"
"numReemplazos","3505410","3761722","3761959","3771372","3744492","3760879","3773631","5503542","8872665"
